,UserId,OfferId,OfferViewId,CountryCode,Category,Source,UtcDate,OfferTitle,User,Offer,Cat_clicks,Category_Name,Translate,Ancestor_ID,filha_1,filha_1_name,UserTotalClicks,ProductClicks
1986,74908afe23b87738e776edb98ec1e33f3afd70925c08a4b398ffa42ec91b66eb,cf26b8b4acd4e784493f8dc4f2645899,cf26b8b4acd4e784493f8dc4f2645899-10769825329500_1466337149136_196709,de,134101,339e02536f2df0eaaffdba7c7246ad09cbd3a7990a7119922a5d189377e39919,2016-06-19 17:55:25.0,Medice Arzneimittel Pütter MediGel Schnelle Wundheilung 50 G,189431,263488,9966,Medikamente,Drugs,134101 133601 132801 601,132801.0,Health and beauty,8,235
2037,74908afe23b87738e776edb98ec1e33f3afd70925c08a4b398ffa42ec91b66eb,cf26b8b4acd4e784493f8dc4f2645899,cf26b8b4acd4e784493f8dc4f2645899-10769825329500_1466337149136_196709,de,134101,339e02536f2df0eaaffdba7c7246ad09cbd3a7990a7119922a5d189377e39919,2016-06-19 19:15:58.0,Medice Arzneimittel Pütter MediGel Schnelle Wundheilung 50 G,189431,263488,9966,Medikamente,Drugs,134101 133601 132801 601,132801.0,Health and beauty,8,235
2038,74908afe23b87738e776edb98ec1e33f3afd70925c08a4b398ffa42ec91b66eb,cf26b8b4acd4e784493f8dc4f2645899,cf26b8b4acd4e784493f8dc4f2645899-10769825329500_1466337149136_196709,de,134101,339e02536f2df0eaaffdba7c7246ad09cbd3a7990a7119922a5d189377e39919,2016-06-19 18:07:57.0,Medice Arzneimittel Pütter MediGel Schnelle Wundheilung 50 G,189431,263488,9966,Medikamente,Drugs,134101 133601 132801 601,132801.0,Health and beauty,8,235
2181,74908afe23b87738e776edb98ec1e33f3afd70925c08a4b398ffa42ec91b66eb,cf26b8b4acd4e784493f8dc4f2645899,cf26b8b4acd4e784493f8dc4f2645899-10769825329500_1466337149136_196709,de,134101,339e02536f2df0eaaffdba7c7246ad09cbd3a7990a7119922a5d189377e39919,2016-06-19 17:54:40.0,Medice Arzneimittel Pütter MediGel Schnelle Wundheilung 50 G,189431,263488,9966,Medikamente,Drugs,134101 133601 132801 601,132801.0,Health and beauty,8,235
3210,cff0295e082e363c7331f2941bf48a2e08f1ef336f730695355b8d7a753e0331,92063a42b321135944b084e65ad3e878,92063a42b321135944b084e65ad3e878-10769812125042_1466439754835_330807,de,134101,22bb70d5745725c3f8bf9bd3cf83ffc078ec126eda1567e3b77992961fa1b0d6,2016-06-20 21:29:21.0,Töpfer Babycare Wind & Wetter Ringelblumensalbe - 75 ml - Körpercreme - Kosmetik,338170,185567,9966,Medikamente,Drugs,134101 133601 132801 601,132801.0,Health and beauty,8,35
3848,af0046c4282b0f18bc807e2eb71a45b9f4295367133267e1e9ca5e8d70eb0214,cf30cc1722bb41b38aa9150b87562a85,cf30cc1722bb41b38aa9150b87562a85-10769820426806_1466484506045_659032,de,134101,4a06e2959719a9c78e144378c99c7aa7b0d792186483fb4205ae7766532b5386,2016-06-21 06:53:48.0,PASCOE Pharmazeutische Präparate GmbH ASTHMA INJEKTOPAS SL Ampullen 10X2 ml,284383,263547,9966,Medikamente,Drugs,134101 133601 132801 601,132801.0,Health and beauty,12,12
3910,7776deead7ccafe25b448e401735504c1ee0a31eb04f50647f4e832f1d26ad19,2f431e439630d9ad3b4d21424d80c2a4,2f431e439630d9ad3b4d21424d80c2a4-10769825010654_1466533756977_411927,de,134101,4a06e2959719a9c78e144378c99c7aa7b0d792186483fb4205ae7766532b5386,2016-06-21 20:35:14.0,Exeltis Germany GmbH Serelys Tabletten,194193,60287,9966,Medikamente,Drugs,134101 133601 132801 601,132801.0,Health and beauty,8,13
4010,7776deead7ccafe25b448e401735504c1ee0a31eb04f50647f4e832f1d26ad19,2f431e439630d9ad3b4d21424d80c2a4,2f431e439630d9ad3b4d21424d80c2a4-10769825010654_1466533756977_411927,de,134101,4a06e2959719a9c78e144378c99c7aa7b0d792186483fb4205ae7766532b5386,2016-06-21 20:33:27.0,Exeltis Germany GmbH Serelys Tabletten,194193,60287,9966,Medikamente,Drugs,134101 133601 132801 601,132801.0,Health and beauty,8,13
4014,af0046c4282b0f18bc807e2eb71a45b9f4295367133267e1e9ca5e8d70eb0214,cf30cc1722bb41b38aa9150b87562a85,cf30cc1722bb41b38aa9150b87562a85-10769820426806_1466484506045_659032,de,134101,4a06e2959719a9c78e144378c99c7aa7b0d792186483fb4205ae7766532b5386,2016-06-21 06:53:58.0,PASCOE Pharmazeutische Präparate GmbH ASTHMA INJEKTOPAS SL Ampullen 10X2 ml,284383,263547,9966,Medikamente,Drugs,134101 133601 132801 601,132801.0,Health and beauty,12,12
4016,af0046c4282b0f18bc807e2eb71a45b9f4295367133267e1e9ca5e8d70eb0214,cf30cc1722bb41b38aa9150b87562a85,cf30cc1722bb41b38aa9150b87562a85-10769820426806_1466484506045_659032,de,134101,4a06e2959719a9c78e144378c99c7aa7b0d792186483fb4205ae7766532b5386,2016-06-21 06:53:04.0,PASCOE Pharmazeutische Präparate GmbH ASTHMA INJEKTOPAS SL Ampullen 10X2 ml,284383,263547,9966,Medikamente,Drugs,134101 133601 132801 601,132801.0,Health and beauty,12,12
