,UserId,OfferId,OfferViewId,CountryCode,Category,Source,UtcDate,OfferTitle,User,Offer,Cat_clicks,Category_Name,Translate,Ancestor_ID,filha_1,filha_1_name,UserTotalClicks,ProductClicks
94,b9b18f33ba8ec55ccb1bd3b106396b2616e1228ac31630426ccd9195ba67cce4,2357ef62c27552a5bf29dca47159a7cd,2357ef62c27552a5bf29dca47159a7cd-1076984112544_1464792692899_943453,fr,137001,3d9dbc3fce91639459b93a93cc9764f70fadda0ccead5bba5aabaf6439f5ee91,2016-06-01 16:51:34.0,fournier décoration Lit coffre - Diva - Noir - 140x190 avec tete de lit + Matelas 140x190 épaisseur 24 cm,473209,44442,57828,Literie,Beds and Mattresses,137001 136801 601,136801.0,Furniture,19,53
271,e25952a83d32689e7a10a1992f61faf2aaf7947dde6187f109862c1fd4faaede,4f6b7bb8130a33dc3d6609b48511eb45,4f6b7bb8130a33dc3d6609b48511eb45-10769825024461_1464772590107_540683,fr,137001,3d9dbc3fce91639459b93a93cc9764f70fadda0ccead5bba5aabaf6439f5ee91,2016-06-01 11:16:37.0,Colombine Tête de lit Cassandre Colombine®,576351,99760,57828,Literie,Beds and Mattresses,137001 136801 601,136801.0,Furniture,10,115
1791,e4063d4001bdb2d721f07ff89b55293012782528bc59be3cf396ce051ce09a2a,de31037d8a9af1af85057b793d20f92a,de31037d8a9af1af85057b793d20f92a-10769825220957_1464966322250_508486,fr,137001,14e8bec8524718f9c82237086d50bd437bd519740a5642d7939897bb1f6a8f59,2016-06-03 17:05:24.0,Rauch Ensemble Chambre à Coucher Lit 2 Personnes + 2 Chevets Rauch,580568,278614,57828,Literie,Beds and Mattresses,137001 136801 601,136801.0,Furniture,10,76
1908,29051012f0deca634c75f05cb394fcab2e8b6699cac69e141f79ee10e3040455,ed9204443517787b3e0f13b1bf2f0e9f,ed9204443517787b3e0f13b1bf2f0e9f-10769813919979_1464914367831_2426499,fr,137001,4e711361822ccdc89f2c1a653eaa16ddabff875a6d18549bbf6a79b66eb567cf,2016-06-03 15:57:22.0,Armoire Penderie 4 Portes + 2 Grands Tiroirs - Marque Anonyme,104559,297964,57828,Literie,Beds and Mattresses,137001 136801 601,136801.0,Furniture,8,94
2456,fa51acac81cfcf692d0c547684189785cdd00a636626ae51235b50438046a3d5,2651dda626016dbce4f8ecb5ff268742,2651dda626016dbce4f8ecb5ff268742-10769820422688_1464998149467_1586840,fr,137001,6272c77f46f068bbd7ff791a927e3890a884defa689d819f3af1742cdd75081c,2016-06-04 14:19:40.0,Armoire Penderie En Pin Massif Et Tissu Home Affaire - Marque Anonyme,637511,48140,57828,Literie,Beds and Mattresses,137001 136801 601,136801.0,Furniture,17,102
2515,29051012f0deca634c75f05cb394fcab2e8b6699cac69e141f79ee10e3040455,97796974f7c7bffd5e6f7587b66bf40e,97796974f7c7bffd5e6f7587b66bf40e-10769812110217_1465028330534_382565,fr,137001,4abcf45e48765873cb1467a9d3f1c5bd97c277ded57a297603ba9a5a5584fc84,2016-06-04 11:14:26.0,Chambre à Coucher Adulte + Lit 2 Personnes + 2 Chevets + Armoire Dressing 2 Portes - Marque Anonyme,104559,190102,57828,Literie,Beds and Mattresses,137001 136801 601,136801.0,Furniture,8,195
2781,b2e6bbbbd9c9ab86634e6ad3ae3339033d09dabcaef9b87951ade5034cda8d32,c8816244f62164af9a420cc2f2849113,c8816244f62164af9a420cc2f2849113-10769825223727_1465056167385_1535576,fr,137001,8026769918b24a1eed02fa75d3720afcd02ddf4ccbb10d92d8ab9f6dd99a071b,2016-06-04 18:02:47.0,Colombine Tête de lit Cassandre Colombine®,455744,251394,57828,Literie,Beds and Mattresses,137001 136801 601,136801.0,Furniture,45,100
3100,be06aaabbeebba65c8c31d38d534d78483cc4224023cf7b1e420212904acd772,206602f9943fc667f3f90309e4f4c840,206602f9943fc667f3f90309e4f4c840-10769825014728_1465057372486_1593632,fr,137001,14e8bec8524718f9c82237086d50bd437bd519740a5642d7939897bb1f6a8f59,2016-06-04 18:22:56.0,Lit Gigogne Enfant à 2 Tiroirs - Marque Anonyme,484184,40767,57828,Literie,Beds and Mattresses,137001 136801 601,136801.0,Furniture,13,53
3472,ff091a30df40416ba279b313bd137bc3eb28aa7a4e4afda8199c09990ed78e39,2ebcfa0c893523e1e51709db1c0132cf,2ebcfa0c893523e1e51709db1c0132cf-10769825226375_1465137901835_1438651,fr,137001,14e8bec8524718f9c82237086d50bd437bd519740a5642d7939897bb1f6a8f59,2016-06-05 16:45:12.0,groupon goods Lit surélevé avec sommier,649256,58723,57828,Literie,Beds and Mattresses,137001 136801 601,136801.0,Furniture,96,69
3523,758d7521ed026eb0083f1b8518ae6aef3bcbd098db001846d2b78e583baf029e,442946582545f6983036cf1289641f45,442946582545f6983036cf1289641f45-10769813915870_1464770139399_416559,fr,137001,e0deaf11e0e9a71eb50020e505b7e8d3dda6a6bd9b04f0394fb2a3395f6e7c08,2016-06-05 08:29:14.0,groupon goods Lit led 180 x 200 cm - Blanc ELEC03DB105,299689,85569,57828,Literie,Beds and Mattresses,137001 136801 601,136801.0,Furniture,10,72
